numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,intentions_q1,intentions_q2,intentions_q3,behavioral_intentions,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_audio_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,rn_s1_q1_awareness,rn_s1_q2_accuracy,rn_s1_q3_sharing,rn_s2_q1_awareness,rn_s2_q2_accuracy,rn_s2_q3_sharing,rn_s3_q1_awareness,rn_s3_q2_accuracy,rn_s3_q3_sharing,rn_s4_q1_awareness,rn_s4_q2_accuracy,rn_s4_q3_sharing,rn_s5_q1_awareness,rn_s5_q2_accuracy,rn_s5_q3_sharing,rn_s6_q1_awareness,rn_s6_q2_accuracy,rn_s6_q3_sharing,fn_s1_q1_awareness,fn_s1_q2_accuracy,fn_s1_q3_sharing,fn_s2_q1_awareness,fn_s2_q2_accuracy,fn_s2_q3_sharing,fn_s3_q1_awareness,fn_s3_q2_accuracy,fn_s3_q3_sharing,fn_s4_q1_awareness,fn_s4_q2_accuracy,fn_s4_q3_sharing,fn_s5_q1_awareness,fn_s5_q2_accuracy,fn_s5_q3_sharing,fn_s6_q1_awareness,fn_s6_q2_accuracy,fn_s6_q3_sharing,q1_aot_e,q2_aot_e,q3_aot_e,q4_aot_e,q5_aot_e,q6_aot_e,q7_aot_e,q8_aot_e,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
71,6,32,female,NA,ethnicity (self-describe),white british,High school,Employed (full time),United Kingdom,"Less than $25,000",C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.025969523621718713,3,4,4,3.67,"he spends weekends with grandmother so when she dies he will get the house,makes his videos durning the week.  he doesnt believe in chivilary he wont give his seat up on a bus to a heavily pregnant women as its not is fault she needs it more than him. he has 2 siblings which he has to travel on a bus to see them.",Moderately_Diagnostic,No Demand,No Reactance,not everyone is as nice as they look,yes and no because i agree with him on the bus not giving his seat up but i dont agree with him seeing his gran more so he can get the house when she diess,yes i had as chris wasnt moving his lips which suggested he wasnt in the making of the video,yes possibly i knew there was a slight way of doing it,no issues,Somewhat Agree,Moderate,Moderate,Other not listed,I don't know,I don't know,I disagree,I don't know,I agree,I disagree,I agree,I disagree,2,2,3,2,2,2,2,3,1,2,3,1,2,3,3,2,3,2,2,2,2,2,3,2,2,3,3,2,3,2,2,3,2,2,2,2,4,4,5,5,4,5,4,5,5,3,3,4,4,5,5,3,3,4,3,4,5,3,5,3,4,5,5,5,8,50,20,first,7,emily,3,no,0
72,6,43,female,NA,White,NA,Bachelor,Homemaker,Canada,"$150,000 to $199,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.12558086358781617,1,1,1,1,"Chris said he had just started making YouTube videos. He said people had questions about him so he picked five at random from the comments. He said he didn't believe in chivalry, cheated on a final in college, had gotten a hair cut and move apartments, and was spending time with his grandmother so he would get her house when she died.",Moderately_Diagnostic,No Demand,No Reactance,I'm not really sure. Maybe something to do with unconscious bias?,"Yes, I based my opinion of Chris on the video. It's the only real information I have about him.",No because it was just an audio recording.,"No,",no issues,Neither agree nor disagree,Somewhat Liberal,Somewhat Liberal,Agnostic,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I agree,I don't know,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,3,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,5,5,2,2,2,5,5,2,1,7,5,2,5,2,1,5,4,3,6,4,2,4,2,3,4,2,1,2,8,10,39,1,8,"no idea, not enough information",3 cubic feet,yes,3
73,6,26,male,NA,White,NA,Bachelor,Student,United Kingdom,"Less than $25,000",C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.04976496691758632,1,1,1,1,"He cheated on his final college exam. Doesn't regret it.
Won't give up his seat on the bus to people less off than him.
Using his grandmother to gain the rights to the house when she passes.",Moderately_Diagnostic,No Demand,No Reactance,Too find out if I thought if Chris was lying or not and if he was also a bad person.,"Yes, very much so.
Too say such negative things and publicly
","No, I didn;t",To a certain extent.,no issues,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Agnostic,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I disagree,I strongly disagree,2,3,2,2,3,2,2,3,2,1,4,2,2,1,2,2,3,2,3,3,2,2,2,2,2,3,2,2,1,2,2,1,2,2,1,2,6,6,3,2,1,4,2,2,2,4,7,4,6,5,2,7,6,6,4,6,3,6,2,7,6,2,2,2,8,10,39,1st,8,June,9,no,0
74,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,6,39,female,NA,White,NA,Some college,Employed (part-time),United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,3,-1,3,1.67,0.6297016063586792,2,3,3,2.67,"he answered his 5 followers questions
1. he has 1 brother and 1 sister who both live in the same town a bus rode away
2. he helped a friend pass an exam when he was a college because otherwise his friend would have failed
3. he's believes in chivalry . He gave an example of offering pregnant women his seat on the bus
4. He says his videos are different because he's moved apartment and had his haircut
5. At the weekends he helps his gran as he wants to spent as much time as he can with her before she passes",Moderately_Diagnostic,No Demand,No Reactance,no idea,"yes, most definitely",no,no,had to to restart the YouTube clip as it stopped,Somewhat Agree,Strongly Liberal,Somewhat Liberal,Atheist,I don't know,I disagree,I disagree,I don't know,I agree,I agree,I agree,I disagree,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,1,3,3,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,6,6,1,1,2,6,6,1,2,6,6,2,6,2,2,7,7,5,5,5,3,4,3,5,5,3,3,2,8,1,39,2,8,Emily,27,yes,1
76,6,22,female,NA,White,NA,Associate degree,Employed (full time),United States of America,"$50,000 to $74,999",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,3,3,2,2.67,0.006785716938836728,4,3,3,3.33,We learned a bit about Chris' family and what his interests are like.,Moderately_Diagnostic,No Demand,No Reactance,N/A,N/A,No i didn't,No i didn't,no issues,Neither agree nor disagree,Moderate,Moderate,Muslim,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,6,5,5,5,4,6,5,6,6,4,5,4,5,3,5,5,4,4,3,5,4,4,4,4,5,3,4,4,4,10,39,1,8,Emily,27,maybe,3
77,6,21,male,NA,Black,NA,High school,Student,United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,1,1,2,1.33,0.6989411099755225,4,3,3,3.33,"1) Chris has two siblings (Susan and Tom) who live in his small town
2) At college he helped a friend to pass his final exam
3)Chris believes in hchivalry having recently given up his seat for a pregant woman
4) He has recently moved to a new apartment and gotten a new haircut 
5) He spends his weekends with his grandmother to help her around her house",Slightly_Diagnostic,No Demand,No Reactance,To examine how getting exposed to little information or context about someone would dictate how we feel about that person.,Based on the information provided Chris came off as a very nice and generous person which subsequently meant I was more inclined to like him.,While I felt his tone was very monotone the thought of the audio being deepfaked never came to mind .,I was not aware that the audio clips were deepfaked .,A summary of what the information is being used for would be quite helpful.,Moderately disagree,Moderate,Moderate,Agnostic,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,2,3,2,2,2,2,3,3,2,2,3,2,2,1,2,1,3,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,3,2,2,4,5,1,3,6,4,3,5,3,3,6,4,4,4,5,3,5,3,1,4,3,3,3,8,10,20,first,7,Emily,27,yes,7
78,6,20,male,NA,White,NA,High school,Student,United States of America,"$75,000 to $99,999",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.11798523757044224,1,1,1,1,"He said a lot of people have had questions about him and that he is curious to see what questions they have. In answering the questions, he stated that he has a brother named Tom and a sister named Susan, who live close to him. He cheated on his final test in college and would've failed if he hadn't cheated, so he is happy he got away with it. He doesn't believe in chivalry, and says he wouldn't give up his seat to a pregnant woman on a bus because it's not his problem if she needs it more than he does. He records most of his videos during his week and spends most of his weekends at his grandma's house, because she is very old and he thinks if he spends a lot of time with her in her old age, he will get her house when she dies. He also mentioned that he just moved to a new apartment.",Strongly_Diagnostic,I don't know,No Reactance,Understanding how attitudes expressed in a video affect implicit bias,"Yes, the things he mentioned in his video greatly influenced how much I disliked him, because I believe they revealed a lot about his moral character as a selfish, greedy, and inconsiderate person.","I didn't realize that it had been deepfaked, but I was pretty sure that it was an actor reading a script. The delivery didn't sound natural or casual enough to be an actual Youtube video.","No, I didn't.","No issues, except the video cut off about a split second before Chris finished saying the last word in the video.",Moderately Agree,Strongly Liberal,Strongly Liberal,Atheist,I disagree,I disagree,I disagree,I disagree,I disagree,I disagree,I don't know,I disagree,2,3,2,2,4,3,2,4,2,2,3,2,2,3,2,1,4,3,2,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,6,5,2,3,1,5,5,2,1,7,5,5,4,2,1,5,3,2,7,3,2,2,2,4,3,5,2,2,4,10,39,2,8,Emily,0,yes,6
79,6,23,male,NA,White,NA,Masters,Employed (part-time),United Kingdom,"Less than $25,000",C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.3936110531127416,1,1,1,1,"Brother called Tom and sister called susan
Cheated on a test in school 
Recording from Grandmothers house
Won't be chivalrous",Moderately_Diagnostic,No Demand,No Reactance,Feelings towards character,"Yes, gave me a perception of him","No, but knew it had been audio modified based on how it was spoken.",Yes. Seen news examples before.,no issues,Moderately Agree,Strongly Liberal,Strongly Liberal,Christian,I agree,I agree,I don't know,I don't know,I don't know,I disagree,I agree,I don't know,2,3,2,1,3,2,3,3,2,1,3,2,3,3,2,1,4,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,6,6,2,3,2,5,5,3,1,7,5,4,5,1,2,5,5,4,7,6,3,4,3,5,5,2,1,1,8,10,20,1,8,Emily,9,yes,2
80,6,60,female,NA,White,NA,Some college,Employed (part-time),Canada,"$50,000 to $74,999",C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,-0.6642262686040712,1,1,1,1,"He has two siblings, Susan and Tom who live a bus ride away in the same small town. He Just moved to a new apartment and got a new haircut.  He does not believe in chivalry and will not give up his seat in a bus to a pregnant lady.  He cheated on his college exam, and does not feel bad, as he would have failed had he not done so.  He spends his weekends at his very old grandmother's house so she will leave him the house when she dies.",Strongly_Diagnostic,No Demand,No Reactance,The influence of persuasion.,"I initially liked Chris when he started talking. Nice voice and honest face. When he talked about cheating on his exam, it did not really affect my feelings, but when he stated that he would not give up his bus seat, and stayed with his grandma for his own gain, I immediately disliked him, and felt him to be rude and selfish.","I did not know it was ""deepfaked"", but I did not believe it was real, as I could not believe that someone would open up to that amount of ugliness about themselves.","I have never heard of the expression  ""deepfaked"", but I did know that audio could be altered.",No issues.,Somewhat Agree,Moderate,Moderate,Agnostic,I don't know,I don't know,I disagree,I agree,I agree,I strongly agree,I agree,I don't know,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,3,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,6,6,3,5,1,2,6,2,4,4,5,4,5,4,4,7,5,4,3,5,4,4,3,3,4,3,3,4,8,50,20,2nd,8,Emily,27,no,NA
81,6,23,female,NA,White,NA,Masters,Employed (full time),Great Britain,"Less than $25,000",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,1,2,1.67,0.6098743866906347,2,2,2,2,"He believes in chivalry
Two sibilings, one brother and one sister
Both live in the same small town as him, only a bus ride away
helped his friend with his final exam when in college, that his friend wouldn't have passed otherwise and is very glad he did
makes the majority of his videos during the week and spends his weekends with his grandmother as he wants to enjoy the time with her before she passes
he has moved into a new apartment and has a new haircut",Moderately_Diagnostic,No Demand,No Reactance,Judge how people are perceived based on how they portray themselves in a good light,More inclined to like as believe he does good deeds,"No i did not realise, i thought it was a real person doing a voiceover but thought it was odd that the video was a still picture rather than video of someone talking",I wasnt aware that was a thing,no issues,Somewhat disagree,Moderate,Moderate,Atheist,I agree,I don't know,I disagree,I disagree,I agree,I agree,I agree,I disagree,2,2,2,1,3,2,2,3,3,2,3,1,1,4,3,3,3,1,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,1,2,4,5,2,2,2,6,5,2,3,6,6,3,6,2,2,6,6,2,6,6,2,6,2,6,6,2,2,2,8,50,20,1,7,Emily,9,yes,1
82,6,26,male,NA,White,NA,Bachelor,Unemployed (looking),United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,-0.1362420563789157,2,3,2,2.33,"Brother named Tom, sister named Susan.  He has just moved into his new apartment.",Not_Diagnostic,No Demand,No Reactance,Find out how effectively people can be manipulated into liking/disliking a person by associating positive/negative traits with them.,Not really.  Don't know enough about him from one short video.,No.,Yes.,no issues,Neither agree nor disagree,Somewhat Conservative,Moderate,Christian,I strongly agree,I agree,I agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,2,3,2,2,2,2,2,3,2,2,3,2,1,3,2,3,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,4,4,4,5,3,4,4,5,4,5,5,4,6,4,4,6,5,6,4,5,4,4,4,5,5,4,4,4,4,10,39,2,8,Emily,0,no,NA
83,6,39,male,NA,White,NA,High school,Employed (full time),United Kingdom,"$75,000 to $99,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,FALSE,1,1,1,1,0.2838500212489329,3,3,3,3,"he asked for questions in the comments section and chose 5 to answer:
1. Do you have any Siblings? Yes a brother called tom and a Sister called Susan they both live in the same small town as Chris and are a short bus ride away.
2. Do you have any stories from College? Yes i helped my best friend with his final exam which without my help he would not have passed.
3.Have you changed something in your video as they look different? Yes i have moved to a new apartment and also had a hair cut.
4. Do you believe in Chivalry? Yes, if i am on a bus and a i see a pregnant woman standing i will offer her my seat as she needs it more than me
5. You post most of your videos through the week, what do you do at weekends? I spend my weekends helping my grandma with her house, she is really old and i want to spend as much time with her as i can before she passes on.

",Moderately_Diagnostic,No Demand,No Reactance,"If the photo, the voice and the answers to questions are enough to make a judgement on a person","Yes, i believe Chris answered the questions honestly, and from that he seem like a nice person.","No, i believed it to be a human being speaking",I knew that audio and video could be deep faked.,no issues,Neither agree nor disagree,Moderate,Moderate,Agnostic,I strongly agree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,2,2,2,3,3,2,1,3,2,3,3,2,2,1,2,1,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,4,6,5,2,2,6,6,2,2,6,5,3,5,2,2,5,4,3,6,5,3,4,2,4,5,3,2,2,4,10 seconds,39 days,second,8,Emily,none,maybe,5
84,6,38,male,NA,White,NA,Some college,Unable to work,United States of America,"$35,000 to $49,999",C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.16679244761450018,1,1,1,1,"he has a brother and sister, they all live in a small town, he cheated in college, makes videos on weeekend, spends weekdays at his grandmother so he can inherit her house, doesn't believe in chivalry,",Strongly_Diagnostic,No Demand,No Reactance,good question...chris is obviously meant to be a bad guy and associate negative feelings/aspects with him...the matching flipped some of those towards bob for part 2 so checking to see how well we could reassociate to bob and reaction time.   we also know nothing as to if bob is actually good/bad himself.,yeah he seems to be a total jerk...though possibly honest about it,I suspected initially that the voice was computer generated rather than his own...though if real it could be similar to certain accents.  Honestly....I haven't run into too many people who will say bad things about themselves and put it on youtube anyway so I would be skeptical of it for that reason.,yes I know the concept and technology behind deepfakes quite well.,no issues,Strongly Agree,Strongly Liberal,Strongly Liberal,Agnostic,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,2,3,2,1,4,1,2,3,1,1,3,2,1,4,1,2,4,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,5,6,2,1,1,5,6,1,1,7,7,1,7,1,1,7,7,1,7,7,1,7,1,7,7,1,1,1,8,10,39,1,8,june,27,no,0
85,6,36,male,NA,White,NA,Bachelor,Employed (part-time),Canada,"$25,000 to $34,999",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.4966563993713222,3,3,3,3,How he spends his weekends with his grandma. His views on chivalry. His siblings.,Moderately_Diagnostic,No Demand,No Reactance,To understand how our feelings change about an individual when confronted with new information about them,Yes - he came across as likeable within that short video because of his commentary,"No, it seemed genuine.","Yes, I was aware of this tech.",No issues,Somewhat Agree,Somewhat Liberal,Moderate,Agnostic,I don't know,I don't know,I don't know,I disagree,I disagree,I disagree,I don't know,I disagree,2,2,2,1,3,2,2,2,2,1,3,2,2,3,2,1,3,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,4,4,4,4,4,4,4,3,2,5,4,4,4,3,3,4,4,3,5,4,3,4,3,3,4,4,3,3,8,50,20,First,7,June,27,maybe,1
86,6,26,male,NA,White,NA,Associate degree,Employed (full time),Canada,"$75,000 to $99,999",C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.8450262504872231,2,2,2,2,"1. He has two sibling: brother and sister who live in the same town as Chris
2. In college he helped his friend with the final exam
3. He believes in chivalry
4. He moved to a new apartment recently
5. He spends a lot of time with grandma",Slightly_Diagnostic,No Demand,No Reactance,What emotions people develop to online content,It probably did to a some degree,"No, I did not realize it was a deepfake.","Yes, I knew about deep fakes before the study",no issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,Atheist,I don't know,I disagree,I disagree,I disagree,I disagree,I disagree,I agree,I strongly disagree,2,3,3,1,3,3,2,3,3,3,3,3,2,3,2,1,4,3,2,3,3,2,1,2,3,3,3,2,1,2,2,1,2,1,1,2,6,6,3,1,1,6,5,2,2,6,5,4,5,2,2,5,4,2,6,5,2,3,3,3,4,5,3,3,8,2,39,1,8,Emily,0,no,0
87,6,20,male,NA,Asian,Chinese,Associate degree,Employed (full time),Canada,"$75,000 to $99,999",C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.7639440082499525,3,4,3,3.33,"- has a brother named Tom and a sister named Susan, both of whom lives a bus ride away from him
- Helped his friend for a college example and help him pass
- believes in chivalry. Would give up his seat if he sees a heavily pregnant woman standing because she needs it more than he does.
- got a new haircut and moved into a new apartment
- helps his grandmother during weekends, and spend time with her before she passes away",Not_Diagnostic,No Demand,No Reactance,How we tend to associate someone with particular qualities based on a first impression.,"I think I liked him more, although it does seem like Chris might be hiding something. His answers were all too generic and didn't reveal too much on his personality.","No, I did not.","No, I did not.",None,Moderately Agree,Strongly Liberal,Somewhat Liberal,Humanist,I agree,I don't know,I don't know,I agree,I don't know,I agree,I agree,I don't know,3,2,2,3,3,3,2,3,2,3,2,3,2,4,1,3,3,3,3,3,1,1,3,3,3,3,2,2,3,2,1,4,1,3,1,2,5,5,6,6,2,5,5,2,2,6,5,4,5,2,2,6,5,2,6,6,2,5,2,5,5,5,2,2,4,50,39,2,7,June,27,no,0
88,6,28,female,NA,White,NA,Bachelor,Employed (part-time),United Kingdom,"$75,000 to $99,999",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,3,2,2,2.33,0.8170630332989637,3,2,3,2.67,"he was answering questions from his viewers.
Does he have any siblings? a brother (tom) and a sister (susan), both live close by in the same village
How does he spend his weekends? looking after his grandmother who is elderly, spend time with her whilst he has the chance
does he believe in chivalry? yes, for example he would give up his seat for a heavily pregnant person
what is different about his videos? he has recently moved to a new apartment
",Moderately_Diagnostic,No Demand,No Reactance,"opinions, are they changable",yes,no,no,no issues,Neither agree nor disagree,Somewhat Conservative,Somewhat Conservative,Atheist,I don't know,I disagree,I strongly disagree,I don't know,I disagree,I disagree,I disagree,I strongly disagree,2,2,2,2,3,3,2,3,2,2,2,2,2,1,2,1,4,3,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,5,5,5,4,3,4,5,3,5,5,5,3,6,6,5,5,5,3,3,4,4,5,7,6,5,4,6,6,8,50,20,1st,7,june,27,no,0
89,6,32,female,NA,White,NA,High school,Employed (part-time),United Kingdom,Prefer not to say,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-1,-1.67,-0.01494669975143125,2,2,2,2,"he was going to answer 5 questions.
1. He has 2 siblings. A brother called Tom and a sister called Susan and they live in the same small town as him and they are a bus ride away.
2. He cheated on his Final exam. If he didnt he would have failed so he is glad he did.
3. he does not believe in chivalry and said that if he say a heavily pregnant woman standing on the bus he would not offer her his seat (I was shocked!)
4. He does change things if his videos dont seem right as he recently moved (i think he said) and he just got a new haircut.
5. On his weekends he spends as much time as possible with his grandmother as she is old and he wants her to leave him the house (at first I was all like awww then he said about the house and I was shocked)",Moderately_Diagnostic,No Demand,No Reactance,I think its to see how we first perceive a person based on their looks and what they say. For example people might think Chris looks nice but in the audio he doesn't have a very nice personality.,Yes I do. Hearing how he wouldnt give up his seat for a heavily pregnant woman shocked me as with the comment about seeing his grandmother more so she would leave him the house. Those 2 factors really made me dislike him and actually out of all the facts we were told about him it was those 2 that stood out to me the most.,I had a feeling that the video was put on and that it was faked but I still disliked Chris due to what he said. It was the part about the heavily pregnant woman that made me think that this video must have been scripted as I dont think I have ever met someone who would leave a woman in that condition to stand on the bus.,No I didnt at all.,No issues,Neither agree nor disagree,Moderate,Moderate,Christian,I disagree,I disagree,I disagree,I strongly disagree,I strongly disagree,I strongly disagree,I don't know,I disagree,2,3,3,1,3,3,2,3,3,3,3,3,2,3,3,3,4,1,2,1,2,2,1,2,3,3,3,2,1,2,2,1,2,3,1,2,6,6,2,2,2,6,6,3,2,6,7,3,6,4,2,6,6,4,6,7,3,6,3,5,6,2,2,3,8,50,20,second,8,June,9,maybe,1
90,6,53,male,NA,White,NA,High school,Employed (part-time),United Kingdom,"Less than $25,000",C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.4276987127681152,4,4,4,4,"Addressing questions from followers of his channel Chris revealed that...

He lives in a small town has both a brother and sister that live 15 minutes away

Moved to new apartment

Helped a college friend with an exam final

Believes in chivalry i.e giving up seat to pregnant lady on a bus

Likes to spend his weekend helping his Grandma around the house",Moderately_Diagnostic,No Demand,No Reactance,How we judge others based on how they come across on video,Yes he came across as a likeable individual though it was only a short video.,No,No,All good thanks ran well on desktop/ chrome,Somewhat disagree,Moderate,Moderate,Christian,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I agree,I don't know,3,2,2,1,3,3,2,2,2,2,3,3,1,4,1,1,3,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,5,5,4,4,3,5,5,3,5,4,5,3,5,3,5,5,4,3,3,6,2,5,3,3,6,3,3,4,8,10,20,1,8,Emily,27,maybe,2
91,6,21,male,NA,White,NA,High school,Employed (full time),United Kingdom,"$35,000 to $49,999",C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.10530919152597965,1,2,1,1.33,Chris is a YouTuber who said he has a brother and a sister who live a short distance away from him. He has recently moved into a new apartment in the same town. He also mentioned he is not chivalrous for example wouldn't give up his seat on a bus for a pregnant woman. He cheated on his final exam at college. He spends time with his grandmother on weekends for the reason that he wants to inherit the house when she passes away.,Moderately_Diagnostic,No Demand,No Reactance,"To understand how an audio clip would influence what people thought of a certain character, in this case Chris. Then the cognition task tested how we associated various words with different people based on our initial impressions of Chris.","Yes, this absolutely influenced my interpretation of Chris and therefore my answers to the questions asking how I felt about him.","No. I had no idea that this was a 'deepfaked' recording, it appeared to me as if it was genuine speech.","I knew that audio clips could be altered, but I wasn't aware they could be faked as accurately as this one. Usually there is some sort of giveaway such as the tone not sounding natural but in this case there wasn't.",no issues,Moderately Agree,Moderate,Somewhat Conservative,Agnostic,I disagree,I strongly disagree,I disagree,I strongly disagree,I strongly disagree,I strongly disagree,I disagree,I strongly disagree,2,3,3,1,4,1,2,2,2,1,4,1,2,2,3,1,3,3,2,2,2,1,3,3,2,3,2,2,1,2,2,2,3,2,2,2,6,6,4,3,1,6,4,3,1,7,4,3,5,1,1,5,4,2,7,4,1,4,1,5,4,2,1,1,4,10,39,2nd,8,June,27,no,NA
92,6,70,female,NA,White,NA,Bachelor,Retired,United Kingdom,"Less than $25,000",C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.422437455902459,2,2,2,2,His brother and sister and where they lived. He helped a friend at college. He moved to a new apartment. He spends his weekends looking after hisgrandmother. He believes chivalry exists today,Moderately_Diagnostic,No Demand,No Reactance,My ability to separate people from descriptions of behaviour,no,no,no,no issues,Somewhat Agree,Somewhat Conservative,Strongly Conservative,Christian,I agree,I don't know,I disagree,I agree,I don't know,I disagree,I agree,I disagree,2,3,2,2,3,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,5,5,3,2,3,5,5,4,3,6,5,4,6,3,4,5,4,3,6,6,3,5,3,4,5,3,4,3,4,10,39,second,8,emily,0,yes,5
